Frame,Time (Seconds),X,Y,Z,,,,,,,,,,,,,,
281,9.366667,0.474813,-0.003152,0.025971,,,,,,,,,,,,,,
282,9.4,0.474788,-0.003175,0.025657,,,,,,,,,,,,,,
283,9.433333,0.474771,-0.003209,0.025674,,,,,,,,,,,,,,
284,9.466667,0.474698,-0.003281,0.025357,,,,,,,,,,,,,,
285,9.5,0.47472,-0.003317,0.025052,,,,,,,,,,,,,,
286,9.533333,0.474697,-0.003305,0.025489,,,,,,,,,,,,,,
287,9.566667,0.474704,-0.003308,0.025582,,,,,,,,,,,,,,
288,9.6,0.474755,-0.003378,0.025203,,,,,,,,,,,,,,
289,9.633333,0.474783,-0.003448,0.025068,,,,,,,,,,,,,,
290,9.666667,0.474781,-0.003436,0.025241,,,,,,,,,,,,,,
291,9.7,0.474784,-0.003407,0.02549,,,,,,,,,,,,,,
292,9.733333,0.474778,-0.003417,0.025452,,,,,,,,,,,,,,
293,9.766667,0.474779,-0.003437,0.025328,,,,,,,,,,,,,,
294,9.8,0.474777,-0.003421,0.02548,,,,,,,,,,,,,,
295,9.833333,0.47477,-0.003325,0.02606,,,,,,,,,,,,,,
296,9.866667,0.474545,-0.002994,0.027082,,,,,,,,,,,,,,
297,9.9,0.474326,-0.0027,0.028227,,,,,,,,,,,,,,
298,9.933333,0.474057,-0.002372,0.029702,,,,,,,,,,,,,,
299,9.966667,0.473724,-0.002187,0.031108,,,,,,,,,,,,,,
300,10,0.473531,-0.002334,0.031722,,,,,,,,,,,,,,
301,10.033333,0.473381,-0.002107,0.031757,,,,,,,,,,,,,,
302,10.066667,0.473316,-0.002085,0.031939,,,,,,,,,,,,,,
303,10.1,0.47304,-0.001921,0.033069,,,,,,,,,,,,,,
304,10.133333,0.47305,-0.002026,0.033573,,,,,,,,,,,,,,
305,10.166667,0.472911,-0.001796,0.033383,,,,,,,,,,,,,,
306,10.2,0.473072,-0.001886,0.032949,,,,,,,,,,,,,,
307,10.233333,0.473003,-0.001821,0.033136,,,,,,,,,,,,,,
308,10.266667,0.473024,-0.001876,0.0332,,,,,,,,,,,,,,
309,10.3,0.473067,-0.001865,0.032965,,,,,,,,,,,,,,
310,10.333333,0.473037,-0.001801,0.032924,,,,,,,,,,,,,,
311,10.366667,0.47309,-0.001893,0.032927,,,,,,,,,,,,,,
312,10.4,0.473078,-0.001842,0.032843,,,,,,,,,,,,,,
313,10.433333,0.47309,-0.001833,0.03275,,,,,,,,,,,,,,
314,10.466667,0.47313,-0.001864,0.032758,,,,,,,,,,,,,,
315,10.5,0.473099,-0.001848,0.032748,,,,,,,,,,,,,,
316,10.533333,0.473133,-0.001876,0.032631,,,,,,,,,,,,,,
317,10.566667,0.473135,-0.001878,0.032641,,,,,,,,,,,,,,
