Format Version,1.23,Take Name,cturtlebot,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2023-04-11 01.20.06.963 PM,Total Frames in Take,1056,Total Exported Frames,1056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1081,Unlabeled 1081,Unlabeled 1081
,ID,"C3AE0","C3AE0","C3AE0","C3AF0","C3AF0","C3AF0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
248,8.266667,0.471275,-0.003182,0.140068,0.444406,0.000910,0.156668
249,8.300000,0.471057,-0.003286,0.140827,0.444141,0.000614,0.157459
250,8.333333,0.470816,-0.003155,0.142041,0.443813,0.000651,0.158591
251,8.366667,0.470642,-0.003142,0.143276,0.443597,0.000800,0.159794
252,8.400000,0.470204,-0.003121,0.144382,0.443115,0.000641,0.160781
253,8.433333,0.470524,-0.003133,0.145203,0.443469,0.000823,0.161700
254,8.466667,0.470529,-0.003076,0.146777,0.443467,0.000754,0.163329
255,8.500000,0.470890,-0.003222,0.148625,0.443721,0.000706,0.165061
256,8.533333,0.471057,-0.003294,0.149681,0.443940,0.000491,0.166211
257,8.566667,0.471049,-0.003428,0.149980,0.443983,0.000513,0.166501
258,8.600000,0.471084,-0.003427,0.149981,0.444042,0.000547,0.166500
259,8.633333,0.471070,-0.003463,0.149910,0.444009,0.000494,0.166411
260,8.666667,0.471080,-0.003433,0.149976,0.444033,0.000536,0.166501
261,8.700000,0.471067,-0.003450,0.149956,0.444016,0.000506,0.166466
262,8.733333,0.471078,-0.003467,0.149928,0.444048,0.000523,0.166444
263,8.766667,0.471062,-0.003437,0.149991,0.444014,0.000528,0.166516
264,8.800000,0.471075,-0.003472,0.149951,0.444039,0.000513,0.166468
265,8.833333,0.471099,-0.003423,0.149967,0.444036,0.000533,0.166494
266,8.866667,0.471073,-0.003461,0.149986,0.444029,0.000531,0.166512
267,8.900000,0.471075,-0.003479,0.149953,0.444039,0.000518,0.166482
268,8.933333,0.471081,-0.003460,0.149983,0.444041,0.000538,0.166512
269,8.966667,0.471034,-0.003443,0.150021,0.443996,0.000502,0.166541
270,9.000000,0.471080,-0.003599,0.149704,0.444009,0.000383,0.166094
271,9.033333,0.470859,-0.003751,0.149228,0.443858,0.000196,0.165550
272,9.066667,0.471085,-0.003813,0.148268,0.444143,0.000251,0.164550
273,9.100000,0.471260,-0.003872,0.147036,0.444532,0.000356,0.163370
274,9.133333,0.471540,-0.003710,0.146266,0.444833,0.000377,0.162558
275,9.166667,0.471457,-0.003757,0.145743,0.444910,0.000357,0.162039
276,9.200000,0.471546,-0.003694,0.145270,0.445130,0.000354,0.161579
277,9.233333,0.471438,-0.003740,0.144884,0.445193,0.000331,0.161145
278,9.266667,0.471588,-0.003696,0.145000,0.445245,0.000416,0.161329
279,9.300000,0.471557,-0.003711,0.144957,0.445241,0.000420,0.161255
280,9.333333,0.471644,-0.003707,0.145028,0.445269,0.000383,0.161400
281,9.366667,0.471598,-0.003723,0.144984,0.445223,0.000349,0.161366
282,9.400000,0.471633,-0.003685,0.145033,0.445245,0.000392,0.161417
283,9.433333,0.471606,-0.003719,0.145000,0.445224,0.000353,0.161390
284,9.466667,0.471642,-0.003695,0.145040,0.445248,0.000388,0.161431
285,9.500000,0.471614,-0.003696,0.145005,0.445225,0.000372,0.161400
286,9.533333,0.471639,-0.003699,0.145041,0.445240,0.000384,0.161434
287,9.566667,0.471624,-0.003704,0.145024,0.445228,0.000363,0.161424
288,9.600000,0.471644,-0.003686,0.145036,0.445241,0.000389,0.161431
